"CLIENT_ISO_CODE","CITY","ZIPCODE","LONGITUDE","LATITUDE","id_cp"
"US","Eau Claire","54701",-91.4877,44.784,1252391
"AU","TRARALGON","3844",146.63,-38.4087,1252392
"US","Lucedale","39452",-88.649,30.8668,1252393
"PL","WARSZAWA","02-998",21.1159,52.1327,1252394
"GB","London","NW3 3AD",-0.1621,51.5426,1252395
"CA","Victoria","V9B6T2",-123.3684,48.4144,1252396
"AT","MATTERSBURG","7210",16.4,47.7333,1252397
"CA","Toronto","M5V3Y4",-79.405,43.6381,1252398
"PL","Krzywiec","95-070",19.2511,51.7984,1252399
"IT","Campello Sul Clitunno","06042",12.7693,42.8269,1252400
"US","Broken bow","74728",-94.7623,34.027,1252401
"DE","Wenzenbach","93173",12.1995,49.0756,1252402
"GB","WOLVERHAMPTON","WV5 0NU",-2.1799,52.5293,1252403
"GB","Cardiff","CF3 1RR",-3.1121,51.5171,1252404
"ES","IBIZA","07817",1.3903,38.8907,1252405
"US","Bloomington","47408",-86.4692,39.2303,1252406
"PL","Warszawa","01-355",20.9164,52.2375,1252407
"GB","London","EN3 4RD",-0.0384,51.6446,1252408
"SG","Singapore","760706",103.8289,1.4289,1252409
"DE","Dierdorf","56269",7.6928,50.5639,1252410
"FR","Nandy","77176",2.5629,48.583,1252411
"GB","London","E5 8QN",-0.0661,51.5572,1252412
"GB","Reading","RG30 1EL",-1.0102,51.4611,1252413
"MX","Hermosillo","83129",-111.2985,28.3572,1252414
"CA","Woodbridge","L4L5S5",-79.5582,43.8016,1252415
"PL","Gdańsk","80-125",18.5602,54.3432,1252416
"GB","KIRKCALDY","KY1 2RJ",-3.1538,56.1183,1252417
"BE","SCHRIEK","2223",4.6936,51.0284,1252418
"GB","Liverpool","L36 2ND",-2.8612,53.4188,1252419
"NL","Vleuten","3451 DJ",5.0127,52.1109,1252420
"NL","Losser","7581 pm",6.9984,52.2676,1252421
"DE","Karlsdorf-Neuthard","76689",8.5303,49.1347,1252422
"NL","Oss","5342 Js",5.5256,51.7575,1252423
"IT","San giorgio monferrato","15020",8.2642,45.1701,1252424
"GB","Sale","M33 3PE",-2.317,53.4065,1252425
"GB","London","SE9 3TA",0.0642,51.433,1252426
"ES","TARIFA","11380",-5.5932,36.0569,1252427
"FR","Steenwerck","59181",2.7783,50.702,1252428
"ES","Rivasvaciamadrid","28521",-3.5054,40.3426,1252429
"PT","SANTO TIRSO","4780-376",-8.4775,41.3426,1252430
"RO","București","012783",26.0602,44.4914,1252431
"IT","Cardano Al Campo","21010",8.7683,46.0367,1252432
"GB","SCUNTHORPE","DN16 3QQ",-0.6452,53.5561,1252433
"IE","Cobh","P24V277",-8.2992,51.8572,1252434
"CA","VAUGHAN","L4K5M1",-79.4942,43.8348,1252435
"GB","London","W8 4LF",-0.1918,51.503,1252436
"NL","Winssen","6645 BB",5.7008,51.8748,1252437
"CA","Vaughan","L6A4Z9",-79.471,43.8518,1252438
"US","Newark","07105",-74.1563,40.7271,1252439
"BR","Agrolandia","88420-000",-49.8376,-27.4639,1252440
"ES","Palas de rei","27200",-7.8776,42.8795,1252441
"ES","ALMERIA","04005",-2.4567,36.8414,1252442
"MX","Ciudad de México","01180",-99.1935,19.386,1252443
"PL","WARSZAWA","03134",20.9467,52.3285,1252444
"FR","Grenay","38540",5.0628,45.6319,1252445
"GB","London","SE6 4QX",-0.0222,51.448,1252446
"IT","Trasacco","67059",13.5327,41.9574,1252447
"GB","Ferndown","BH22 9FA",-1.8915,50.8028,1252448
"GB","Oakham","LE15 8HF",-0.6297,52.6384,1252449
"MX","HUIXQUILUCAN DE DEGOLLADO","52785",-99.2656,19.4131,1252450
"PT","Carvalhosa, Paços de Ferreira","4590-090",-8.3608,41.3006,1252451
"NL","Zevenaar","6905 VV",6.1033,51.9204,1252452
"NL","Amstelveen","1083 AR",4.8892,52.3248,1252453
"SE","Sala","73334",16.6066,59.9199,1252454
"GB","Brentwood","CM15 0QA",0.3101,51.6675,1252455
"US","Los Angeles","90044",-118.2901,33.9551,1252456
"GB","Toomebridge","BT41 3QB",-6.4254,54.8115,1252457
"CA","Sudbury","P3E1B8",-80.9946,46.4908,1252458
"MX","San Pedro Garza García","66240",-100.3766,25.6837,1252459
"CO","Sahagún","232540",-75.4427,8.9462,1252460
"IT","Bientina","56031",10.6212,43.7083,1252461
"GB","Glasgow","G42 7BT",-4.2583,55.8412,1252462
"PT","Felgueiras","4610-113",-8.194,41.3681,1252463
"FR","Saint-Didier-d'Aussiat","01340",5.0607,46.3058,1252464
"GB","London","E8 2RE",-0.0675,51.5524,1252465
"SE","Malmö","21458",13.0007,55.6059,1252466
"ES","PUZOL","46530",-0.3043,39.6153,1252467
"NL","Enschede","7534 GC",6.9693,52.2078,1252468
"GB","Salford","M3 5EY",-2.2519,53.484,1252469
"IT","Firenze","50122",11.2463,43.7793,1252470
"ES","Senín","36640",-8.6353,42.7156,1252471
"GB","LLANRHYSTUD","SY23 5BJ",-4.1441,52.3035,1252472
"US","HIGHLAND PARK","60035",-87.8059,42.1794,1252473
"GB","London","SW3 5BH",-0.1737,51.4831,1252474
"PT","Rio Tinto","4435-034",-8.5581,41.1826,1252475
"US","Riverdale","20737",-76.9147,38.9601,1252476
"GB","GRAYS","RM16 4UZ",0.3639,51.4873,1252477
"GB","London","E4 8DD",-0.0179,51.6179,1252478
"IN","Visakhapatnam","531116",82.5482,17.6559,1252479
"GB","london","W4 5RG",-0.272,51.493,1252480
"US","Raleigh","27617",-78.7447,35.9034,1252481
"ES","Cordoba","14008",-4.7828,37.8862,1252482
"IE","Athlone","N37PC67",-7.9372,53.4228,1252483
"US","Gresham","97080",-122.4156,45.4817,1252484
"ES","Campohermoso","04110",-2.1327,36.9377,1252485
"GB","Tamworth","B79 0EE",-1.6833,52.6443,1252486
"NL","Den Haag","2526 CW",4.3086,52.066,1252487
"GB","Beverley","HU17 7SU",-0.451,53.8546,1252488
"PT","Lisboa","1500-618",-9.1333,38.7167,1252489
"SE","Grästorp","46792",12.6812,58.3322,1252490
"ES","ALCALA DE HENARES. EN AUSENCIA RECOGE LA PORTERA","28807",-3.366,40.4874,1252491
"PL","Kraków","30-654",19.9558,50.0203,1252492
"GB","Milton Keynes","MK7 7SS",-0.6841,52.0256,1252493
"CZ","Bílovice","687 12",17.5667,49.1,1252494
"NL","Bergen (NH)","1861 GA",4.6996,52.6707,1252495
"US","Dumont","07628",-73.9921,40.9447,1252496
"FR","LA WANTZENAU","67610",7.8307,48.6579,1252497
"MX","Cd Guzman","49040",-103.49,19.7303,1252498
"DE","Forstern","85659",11.9772,48.1834,1252499
"DE","Guderhandviertel","21720",9.6111,53.566,1252500
"SK","Bratislava","811 08",17.1067,48.1482,1252501
"GB","Hull","HU4 7NS",-0.4167,53.7364,1252502
"CA","Lévis","G6C1L8",-71.1306,46.7699,1252503
"US","Santa Teresa","88008",-106.6821,31.8394,1252504
"GB","Bedford","MK43 0BP",-0.5945,52.0777,1252505
"PL","POZNAŃ","60-321",16.8635,52.401,1252506
"FR","ARRAS","62000",2.7819,50.293,1252507
"PL","Warszawa","03-678",21.0732,52.2788,1252508
"NL","Naaldwijk","2671 CK",4.211,51.9977,1252509
"US","Aptos","95003",-121.8902,36.9797,1252510
"MX","Tijuana","22226",-116.7997,32.405,1252511
"ES","Castro De Rei","27258",-7.4435,43.2176,1252512
"US","Belleville","07109",-74.1631,40.7946,1252513
"DE","SCHÖMBERG","72355",8.7595,48.21,1252514
"ES","Dénia","03700",0.0887,38.8467,1252515
"NL","Amsterdam","1064 xb",4.8132,52.3758,1252516
"FR","Fontenay-aux-Roses","92260",2.2927,48.7933,1252517
"ES","Cubelles","08880",1.6615,41.2137,1252518
"NL","Nieuwerbrug","2415 CH",4.814,52.0748,1252519
"NO","Oslo","0650",10.7823,59.8457,1252520
"GB","London","W8 4EY",-0.1908,51.504,1252521
"HR","Đakovo","31400",18.2439,45.3972,1252522
"DE","MÜNCHEN","81379",11.5204,48.0988,1252523
"PT","vermoim - maia","4470-388",-8.6199,41.2357,1252524
"US","HOLLYWOOD","33019",-80.1219,26.007,1252525
"DE","Windach","86949",11.0333,48.0667,1252526
"GB","Essex","RM11 1FP",0.2023,51.5609,1252527
"IT","Ittiri","07044",8.5698,40.5915,1252528
"GB","Shepshed","LE12 9QF",-1.2914,52.7706,1252529
"PL","Masłowo","63-900",17.0572,51.6145,1252530
"GB","London","E9 7SR",-0.0511,51.5384,1252531
"GB","Cupar","KY15 5BG",-3.0005,56.3183,1252532
"SG","Singapore","469976",103.9393,1.3126,1252533
"GB","Leigh","WN7 3LZ",-2.5231,53.4816,1252534
"ES","Aliaga","44150",-0.7105,40.668,1252535
"ES","Ponferrada","24390",-6.6959,42.522,1252536
"IN","Ranchi","834005",85.2857,23.3695,1252537
"FR","Chateauneuf Sur Isere","26300",5.1507,44.971,1252538
"PT","Covilhã","6200-086",-7.504,40.286,1252539
"CA","Richmond","V6Y4J5",-123.1254,49.1614,1252540
"US","Meridian","83646",-116.4306,43.6498,1252541
"IN","New delhi","110070",77.1523,28.5439,1252542
"MX","Saltillo","25230",-101.0481,25.1898,1252543
"GB","Derby","DE21 5DS",-1.4661,52.9692,1252544
"ES","València","46001",-0.3807,39.4742,1252545
"FR","Floirac","33270",-0.5268,44.8306,1252546
"ES","Pozuelo De Alarcón","28223",-3.8197,40.4244,1252547
"US","Glenwood","21738",-77.0148,39.2795,1252548
"NL","Amsterdam","1059 CW",4.8492,52.3512,1252549
"PL","Warszawa","00-080",21.013,52.246,1252550
"GB","London","N19 3HT",-0.1238,51.5682,1252551
"IT","Santo Stefano di Magra","19037",9.9445,44.1583,1252552
"PT","Amarante","4605-142",-8.1612,41.2775,1252553
"CA","Saint-Laurent","H4R0R3",-73.7087,45.5187,1252554
"ES","ASTIGARRAGA","20115",-1.9344,43.2794,1252555
"ES","Los Montesinos","03187",-0.7628,38.0289,1252556
"AT","Gaißau","6974",9.6,47.4667,1252557
"IT","Clusane","25045",10.1145,45.5613,1252558
"GB","Camden","NW1 7QD",-0.1421,51.5352,1252559
"TR","Amasya","05000",36.05,40.65,1252560
